Subject,Level,Ex,Sub,Topic,Description,Resource ID,Difficulty Level
PSC,P6,7,A,Cycles,Reproduction in Plants,PSC_iScience_UB_0_0133_MCQ,1
PSC,P6,7,A,Cycles,Reproduction in Plants,PSC_iScience_UB_0_0134_MCQ,1
PSC,P6,7,A,Cycles,Reproduction in Plants,PSC_iScience_UB_0_0135_MCQ,1
PSC,P6,7,A,Cycles,Reproduction in Plants,PSC_iScience_UB_0_0136_MCQ,1
PSC,P6,7,A,Cycles,Reproduction in Plants,PSC_iScience_UB_0_0137_MCQ,1
PSC,P6,7,A,Cycles,Reproduction in Plants,PSC_iScience_UB_0_0138_FIB,1
PSC,P6,7,A,Cycles,Reproduction in Plants,PSC_iScience_UB_0_0139_MCQ,1
PSC,P6,7,A,Cycles,Reproduction in Plants,PSC_iScience_UB_0_0140_MCQ,1
PSC,P6,7,A,Cycles,Reproduction in Plants,PSC_iScience_UB_0_0141_MCQ,1
PSC,P6,7,A,Cycles,Reproduction in Plants,PSC_iScience_UB_0_0142_OE,1
PSC,P6,7,A,Cycles,Reproduction in Plants,PSC_iScience_UB_0_0143_OE,1
PSC,P6,7,A,Cycles,Reproduction in Plants,PSC_iScience_UB_0_0144_OE,1
PSC,P6,8,A,Cycles,Reproduction in Plants,PSC_iScience_UB_0_0145_MCQ,1
PSC,P6,8,A,Cycles,Reproduction in Plants,PSC_iScience_UB_0_0146_MCQ,1
PSC,P6,8,A,Cycles,Reproduction in Plants,PSC_iScience_UB_0_0147_MCQ,1
PSC,P6,8,A,Cycles,Reproduction in Plants,PSC_iScience_UB_0_0148_MCQ,1
PSC,P6,8,A,Cycles,Reproduction in Plants,PSC_iScience_UB_0_0149_MCQ,1
PSC,P6,8,A,Cycles,Reproduction in Plants,PSC_iScience_UB_0_0150_MCQ,1
PSC,P6,8,A,Cycles,Reproduction in Plants,PSC_iScience_UB_0_0151_FIB,1
PSC,P6,8,A,Cycles,Reproduction in Plants,PSC_iScience_UB_0_0152_FIB,1
PSC,P6,8,A,Cycles,Sexual Reproduction in Humans,PSC_iScience_UB_0_0153_MCQ,2
PSC,P6,8,A,Cycles,Sexual Reproduction in Humans,PSC_iScience_UB_0_0154_MCQ,1
PSC,P6,8,A,Cycles,Sexual Reproduction in Humans,PSC_iScience_UB_0_0155_MCQ,1
PSC,P6,8,A,Cycles,Sexual Reproduction in Humans,PSC_iScience_UB_0_0156_MCQ,1
PSC,P6,8,A,Cycles,Sexual Reproduction in Humans,PSC_iScience_UB_0_0157_MCQ,1
PSC,P6,8,A,Cycles,Sexual Reproduction in Humans,PSC_iScience_UB_0_0158_MCQ,1
PSC,P6,8,A,Cycles,Sexual Reproduction in Humans,PSC_iScience_UB_0_0159_MCQ,1
PSC,P6,8,A,Cycles,Sexual Reproduction in Humans,PSC_iScience_UB_0_0160_MCQ,1
PSC,P6,8,A,Cycles,Sexual Reproduction in Humans,PSC_iScience_UB_0_0161_MCQ,2
PSC,P6,8,A,Cycles,Sexual Reproduction in Humans,PSC_iScience_UB_0_0162_MCQ,1
PSC,P6,8,A,Cycles,Sexual Reproduction in Humans,PSC_iScience_UB_0_0163_MCQ,1
PSC,P6,8,A,Cycles,Sexual Reproduction in Humans,PSC_iScience_UB_0_0164_MCQ,1
PSC,P6,9,A,Cycles,Sexual Reproduction in Humans,PSC_iScience_UB_0_0165_MCQ,1
PSC,P6,9,A,Cycles,Sexual Reproduction in Humans,PSC_iScience_UB_0_0166_MCQ,1
PSC,P6,9,A,Cycles,Sexual Reproduction in Humans,PSC_iScience_UB_0_0167_MCQ,1
PSC,P6,9,A,Cycles,Sexual Reproduction in Humans,PSC_iScience_UB_0_0168_MCQ,1
PSC,P6,9,A,Cycles,Sexual Reproduction in Humans,PSC_iScience_UB_0_0170_OE,1
PSC,P6,9,A,Cycles,Sexual Reproduction in Humans,PSC_iScience_UB_0_0171_FIB,1
PSC,P6,9,A,Cycles,Sexual Reproduction in Humans,PSC_iScience_UB_0_0172_FIB,1
PSC,P6,9,A,Cycles,Sexual Reproduction in Humans,PSC_iScience_UB_0_0173_MCQ,1
PSC,P6,9,A,Cycles,Sexual Reproduction in Humans,PSC_iScience_UB_0_0175_MCQ,1
PSC,P6,9,A,Cycles,Sexual Reproduction in Humans,PSC_iScience_UB_0_0176_MCQ,1
PSC,P6,9,A,Cycles,Sexual Reproduction in Humans,PSC_iScience_UB_0_0177_MCQ,1
PSC,P6,9,A,Cycles,Sexual Reproduction in Humans,PSC_iScience_UB_0_0178_MCQ,1
PSC,P6,9,A,Cycles,Sexual Reproduction in Humans,PSC_iScience_UB_0_0179_MCQ,1
PSC,P6,9,A,Cycles,Sexual Reproduction in Humans,PSC_iScience_UB_0_0180_MCQ,1
PSC,P6,9,A,Cycles,Sexual Reproduction in Humans,PSC_iScience_UB_0_0181_MCQ,1
PSC,P6,9,A,Cycles,Sexual Reproduction in Humans,PSC_iScience_UB_0_0182_MCQ,1
PSC,P6,9,A,Cycles,Sexual Reproduction in Humans,PSC_iScience_UB_0_0183_MCQ,1
PSC,P6,9,A,Cycles,Sexual Reproduction in Humans,PSC_iScience_UB_0_0184_MCQ,1
PSC,P6,9,A,Cycles,Sexual Reproduction in Humans,PSC_iScience_UB_0_0185_MCQ,1
PSC,P6,9,A,Cycles,Sexual Reproduction in Humans,PSC_iScience_UB_0_0186_MCQ,1
PSC,P6,10,A,Cycles,Sexual Reproduction in Humans,PSC_iScience_UB_0_0187_MCQ,1
PSC,P6,10,A,Cycles,Sexual Reproduction in Humans,PSC_iScience_UB_0_0188_OE,1
PSC,P6,10,A,Cycles,Sexual Reproduction in Humans,PSC_iScience_UB_0_0189_MCQ,1
PSC,P6,10,A,Cycles,Sexual Reproduction in Humans,PSC_iScience_UB_0_0190_OE,1
PSC,P6,10,A,Cycles,Sexual Reproduction in Humans,PSC_iScience_UB_0_0191_OE,1
PSC,P6,10,A,Cycles,Sexual Reproduction in Humans,PSC_iScience_UB_0_0192_MCQ,1
PSC,P6,10,A,Cycles,Sexual Reproduction in Humans,PSC_iScience_UB_0_0193_MCQ,1
PSC,P6,10,A,Cycles,Sexual Reproduction in Humans,PSC_iScience_UB_0_0194_MCQ,1
PSC,P6,10,A,Cycles,Sexual Reproduction in Humans,PSC_iScience_UB_0_0195_MCQ,1
PSC,P6,10,A,Cycles,Sexual Reproduction in Humans,PSC_iScience_UB_0_0196_MCQ,1
PSC,P6,10,A,Cycles,Sexual Reproduction in Humans,PSC_iScience_UB_0_0197_MCQ,1
PSC,P6,10,A,Cycles,Sexual Reproduction in Humans,PSC_iScience_UB_0_0198_OE,2
PSC,P6,10,A,Cycles,Sexual Reproduction in Humans,PSC_iScience_UB_0_0199_MCQ,1
PSC,P6,10,A,Cycles,Sexual Reproduction in Humans,PSC_iScience_UB_0_0200_OE,2
PSC,P6,10,A,Cycles,Sexual Reproduction in Humans,PSC_iScience_UB_0_0201_MCQ,1
PSC,P6,10,A,Cycles,Sexual Reproduction in Humans,PSC_iScience_UB_0_0203_OE,1
PSC,P6,10,A,Cycles,Sexual Reproduction in Humans,PSC_iScience_UB_0_0204_FIB,1
PSC,P6,10,A,Cycles,Sexual Reproduction in Humans,PSC_iScience_UB_0_0206_MCQ,1
PSC,P6,10,A,Cycles,Sexual Reproduction in Humans,PSC_iScience_UB_0_0207_MCQ,1
PSC,P6,10,A,Cycles,Sexual Reproduction in Humans,PSC_iScience_UB_0_0208_MCQ,1
PSC,P6,11,A,Cycles,Sexual Reproduction in Humans,PSC_iScience_UB_0_0209_OE,1
PSC,P6,11,A,Cycles,Sexual Reproduction in Humans,PSC_iScience_UB_0_0210_FIB,1
PSC,P6,11,A,Cycles,Sexual Reproduction in Humans,PSC_iScience_UB_0_0211_FIB,1
PSC,P6,11,A,Cycles,Sexual Reproduction in Humans,PSC_iScience_UB_0_0212_FIB,1
PSC,P6,11,A,Cycles,Sexual Reproduction in Humans,PSC_iScience_UB_0_0213_OE,1
PSC,P6,11,A,Cycles,Sexual Reproduction in Humans,PSC_iScience_UB_0_0214_FIB,2
PSC,P6,11,A,Systems,Systems in Living Things,PSC_iScience_UB_0_0215_OE,2
PSC,P6,11,A,Systems,Systems in Living Things,PSC_iScience_UB_0_0216_MCQ,2
PSC,P6,11,A,Systems,Systems in Living Things,PSC_iScience_UB_0_0217_MCQ,1
